"X_coord","Y_COORD","HABITAT"
287000,5174260,1
287000,5175260,1
287000,5176260,1
287000,5177260,0
287000,5178260,1
287000,5179260,1
287000,5180260,1
287000,5181260,1
287000,5182260,1
287000,5183260,1
287000,5184260,1
287000,5185260,1
287000,5186260,1
287000,5187260,0
287000,5188260,0
287000,5189260,1
287000,5190260,1
287000,5191260,1
287000,5192260,1
287000,5193260,1
287000,5194260,1
287000,5195260,1
287000,5196260,1
287000,5197260,1
287000,5198260,1
287000,5199260,1
287000,5200260,1
287000,5201260,0
287000,5202260,1
287000,5203260,1
287000,5204260,1
287000,5205260,1
287000,5206260,1
287000,5207260,1
287000,5208260,1
287000,5209260,1
287000,5210260,1
287000,5211260,1
287000,5212260,1
287000,5213260,1
287000,5214260,1
287000,5215260,1
287000,5216260,1
287000,5217260,1
287000,5218260,1
287000,5219260,1
287000,5220260,1
287000,5221260,1
287000,5222260,1
287000,5223260,1
287000,5224260,1
287000,5225260,1
287000,5226260,1
287000,5227260,1
287000,5228260,1
287000,5229260,1
287000,5230260,1
287000,5231260,1
287000,5232260,1
287000,5233260,1
287000,5234260,0
287000,5235260,1
287000,5236260,1
287000,5237260,0
287000,5238260,1
287000,5239260,1
287000,5240260,1
287000,5241260,0
287000,5242260,1
287000,5243260,0
287000,5244260,1
287000,5245260,1
287000,5246260,1
287000,5247260,1
287000,5248260,0
287000,5249260,1
287000,5250260,0
287000,5251260,1
287000,5252260,1
287000,5253260,1
287000,5254260,1
287000,5255260,1
287000,5256260,1
287000,5257260,1
287000,5258260,0
287000,5259260,1
287000,5260260,1
287000,5261260,1
287000,5262260,1
287000,5263260,1
287000,5264260,1
287000,5265260,1
287000,5266260,1
287000,5267260,1
288000,5163260,1
288000,5164260,1
288000,5165260,1
288000,5166260,1
288000,5167260,1
288000,5168260,1
288000,5169260,0
288000,5170260,1
288000,5171260,1
288000,5172260,1
288000,5173260,1
288000,5174260,1
288000,5175260,1
288000,5176260,1
288000,5177260,1
288000,5178260,1
288000,5179260,1
288000,5180260,1
288000,5181260,1
288000,5182260,1
288000,5183260,1
288000,5184260,1
288000,5185260,1
288000,5186260,0
288000,5187260,0
288000,5188260,0
288000,5189260,1
288000,5190260,1
288000,5191260,1
288000,5192260,1
288000,5193260,1
288000,5194260,1
288000,5195260,1
288000,5196260,1
288000,5197260,1
288000,5198260,1
288000,5199260,1
288000,5200260,1
288000,5201260,1
288000,5202260,1
288000,5203260,1
288000,5204260,1
288000,5205260,1
288000,5206260,1
288000,5207260,1
288000,5208260,1
288000,5209260,1
288000,5210260,1
288000,5211260,1
288000,5212260,0
288000,5213260,0
288000,5214260,1
288000,5215260,1
288000,5216260,1
288000,5217260,1
288000,5218260,1
288000,5219260,1
288000,5220260,1
288000,5221260,1
288000,5222260,1
288000,5223260,1
288000,5224260,1
288000,5225260,1
288000,5226260,1
288000,5227260,1
288000,5228260,1
288000,5229260,1
288000,5230260,1
288000,5231260,1
288000,5232260,0
288000,5233260,0
288000,5234260,1
288000,5235260,1
288000,5236260,1
288000,5237260,1
288000,5238260,1
288000,5239260,0
288000,5240260,1
288000,5241260,1
288000,5242260,1
288000,5243260,0
288000,5244260,1
288000,5245260,0
288000,5246260,0
288000,5247260,1
288000,5248260,0
288000,5249260,1
288000,5250260,1
288000,5251260,1
288000,5252260,1
288000,5253260,1
288000,5254260,1
288000,5255260,1
288000,5256260,1
288000,5257260,1
288000,5258260,1
288000,5259260,1
288000,5260260,1
288000,5261260,1
288000,5262260,1
288000,5263260,1
288000,5264260,1
288000,5265260,1
288000,5266260,1
288000,5267260,1
289000,5163260,1
289000,5164260,1
289000,5165260,1
289000,5166260,1
289000,5167260,0
289000,5168260,1
289000,5169260,1
289000,5170260,1
289000,5171260,1
289000,5172260,1
289000,5173260,1
289000,5174260,1
289000,5175260,1
289000,5176260,0
289000,5177260,1
289000,5178260,1
289000,5179260,1
289000,5180260,1
289000,5181260,1
289000,5182260,1
289000,5183260,1
289000,5184260,1
289000,5185260,1
289000,5186260,0
289000,5187260,1
289000,5188260,1
289000,5189260,1
289000,5190260,1
289000,5191260,1
289000,5192260,1
289000,5193260,1
289000,5194260,1
289000,5195260,1
289000,5196260,1
289000,5197260,1
289000,5198260,1
289000,5199260,1
289000,5200260,1
289000,5201260,1
289000,5202260,1
289000,5203260,1
289000,5204260,1
289000,5205260,1
289000,5206260,1
289000,5207260,1
289000,5208260,1
289000,5209260,1
289000,5210260,1
289000,5211260,1
289000,5212260,1
289000,5213260,1
289000,5214260,1
289000,5215260,1
289000,5216260,1
289000,5217260,1
289000,5218260,0
